Structure,Specie,Site,Energy (eV)
0.477-43,H,H_1,-23988.380260
0.477-43,H,H_2,-23987.549418
0.477-43,H,H_3,-23990.426110
0.477-43,H,H_4,-23988.379518
0.477-43,OH,OH_1,-24554.704499
0.477-43,OH,OH_2,-24553.971639
0.477-43,OH,OH_3,-24554.732514
0.477-43,OH,OH_4,-24554.949502
0.477-43,OOH,OOH_1,-25121.667730
0.477-43,OOH,OOH_2,-25118.139570
0.477-43,OOH,OOH_3,-25118.600243
0.477-43,OOH,OOH_4,-25118.836468
0.477-43,O,O_1,-24538.230549
0.477-43,O,O_2,-24538.230243
0.477-43,O,O_3,-24538.230722
0.477-43,O,O_4,-24538.239862
0.524-34,H,H_1,-15990.420054
0.524-34,H,H_2,-15990.694943
0.524-34,OH,OH_1,-16559.119955
0.524-34,OH,OH_2,-16557.096886
0.524-34,OOH,OOH_1,-17123.234828
0.524-34,OOH,OOH_2,-17123.693149
0.524-34,O,O_1,-16544.656557
0.524-34,O,O_2,-16547.722394
0.559-19,H,H_1,-8017.033395
0.559-19,H,H_2,-8016.546118
0.559-19,H,H_3,-8017.395380
0.559-19,H,H_4,-8017.034106
0.559-19,H,H_5,-8016.671514
0.559-19,H,H_6,-8016.545041
0.559-19,H,H_7,-8017.394766
0.559-19,H,H_8,-8016.672539
0.559-19,OH,OH_1,-8583.541075
0.559-19,OH,OH_2,-8582.714111
0.559-19,OH,OH_3,-8583.731758
0.559-19,OH,OH_4,-8583.391677
0.559-19,OH,OH_5,-8583.542052
0.559-19,OH,OH_6,-8582.716670
0.559-19,OH,OH_7,-8583.731167
0.559-19,OH,OH_8,-8583.542028
0.559-19,OOH,OOH_1,-9147.560307
0.559-19,OOH,OOH_2,-9147.541057
0.559-19,OOH,OOH_3,-9147.809769
0.559-19,OOH,OOH_4,-9147.435974
0.559-19,OOH,OOH_5,-9147.899475
0.559-19,OOH,OOH_6,-9150.721244
0.559-19,OOH,OOH_7,-9147.802239
0.559-19,OOH,OOH_8,-9147.548808
0.559-19,O,O_1,-8567.834199
0.559-19,O,O_2,-8566.802229
0.559-19,O,O_3,-8566.932146
0.559-19,O,O_4,-8567.831256
0.559-19,O,O_5,-8567.833631
0.559-19,O,O_6,-8566.800604
0.559-19,O,O_7,-8566.931327
0.559-19,O,O_8,-8567.834997
0.604-50,H,H_1,-18025.877778
0.604-50,H,H_2,-18026.463203
0.604-50,H,H_3,-18026.239581
0.604-50,OH,OH_1,-18592.219660
0.604-50,OH,OH_2,-18592.784731
0.604-50,OH,OH_3,-18592.685224
0.604-50,OOH,OOH_1,-19156.339137
0.604-50,OOH,OOH_2,-19156.674895
0.604-50,OOH,OOH_3,-19156.659739
0.604-50,O,O_1,-18575.577685
0.604-50,O,O_2,-18576.009075
0.604-50,O,O_3,-18575.555284
0.728-42,H,H_1,-19991.450214
0.728-42,H,H_2,-19991.630206
0.728-42,H,H_3,-19993.542111
0.728-42,OH,OH_1,-20558.370768
0.728-42,OH,OH_2,-20558.119162
0.728-42,OH,OH_3,-20558.394478
0.728-42,OOH,OOH_1,-21122.029832
0.728-42,OOH,OOH_2,-21125.083487
0.728-42,OOH,OOH_3,-21125.078626
0.728-42,O,O_1,-20541.915307
0.728-42,O,O_2,-20541.517312
0.728-42,O,O_3,-20541.914773
0.766-41,H,H_1,-12013.341380
