dE_H (eV),dE_H (eV)
"2,51",
"2,65",
"0,71",
"-0,02",
"0,64",
"2,31",
"0,80",
"0,88",
"0,07",
"2,52","0,57"
"3,52","1,40"
"0,12","-1,48"
"0,74","0,57"
"-2,65","-0,41"
"-3,04","-0,68"
"2,67","1,02"
"0,39","1,51"
"1,02","0,66"
"0,65","1,02"
"1,33","1,38"
"0,46","1,51"
"1,00","0,66"
"0,63","1,38"
"0,90","0,98"
"1,11","0,40"
"2,71","0,62"
"2,30","1,19"
"0,95","1,01"
"0,35","-0,90"
"-1,04","-0,43"
"-2,02","-0,31"
"-1,79","0,54"
"0,19","0,54"
"-1,55","0,54"
"0,99","0,54"
"-1,69","-0,43"
"-1,19","-1,48"
"1,09","0,54"
"-1,70","-0,43"
"0,20","-0,31"
"-2,09","0,53"
"-1,81","-0,43"
"-2,25","-0,31"
"-1,81","0,54"
"-0,06","-1,13"
"-0,03","-1,48"
"-1,60","0,54"
"0,30","0,54"
"-2,04","-0,32"
"1,15","0,54"
"-1,80","-0,43"
"-0,07","-0,31"
"-1,88","0,54"
"4,28","2,29"
"-0,01","2,25"
"2,08","2,27"
"2,59","2,24"
"3,55","2,37"
"1,76","2,27"
"1,24","2,32"
"1,03","2,32"
"3,75","8,91"
"1,25","2,30"
"2,97","0,95"
"0,87","0,95"
"0,25",
"1,09",
"0,14",
"0,67",
"0,67",
"0,14",
"-1,32",
"0,15",
"5,32",
