dE_H (eV),dE_O (eV)
0.57,2.30
1.40,2.30
-1.48,2.30
0.57,2.29
-0.41,-3.07
-0.68,-6.13
1.02,1.80
1.51,2.83
0.66,2.70
1.02,1.80
1.38,1.80
1.51,2.83
0.66,2.70
1.38,1.80
0.98,2.86
0.40,2.43
0.62,2.88
1.19,2.30
1.01,2.70
-0.90,2.30
-0.43,2.28
-0.31,2.82
0.54,2.28
0.54,2.28
0.54,2.28
0.54,2.29
-0.43,0.33
-1.48,1.94
0.54,2.29
-0.43,2.28
-0.31,2.82
0.53,2.29
-0.43,1.23
-0.31,2.83
0.54,2.29
-1.13,-0.65
-1.48,1.95
0.54,2.29
0.54,2.29
-0.32,1.95
0.54,2.29
-0.43,2.29
-0.31,2.82
0.54,2.29
2.29,9.58
2.25,5.61
2.27,5.67
2.24,8.03
2.37,8.02
2.27,5.63
2.32,5.57
2.32,5.54
8.91,101.40
2.30,5.65
0.95,0.81
0.95,2.71
