dE_H (eV),dE_OH (eV)
0.57,1.70
1.40,2.43
-1.48,1.67
0.57,1.45
-0.41,-1.66
-0.68,0.37
1.02,1.96
1.51,2.79
0.66,1.77
1.02,2.11
1.38,1.96
1.51,2.79
0.66,1.77
1.38,1.96
0.98,2.09
0.40,1.53
0.62,1.63
1.19,1.72
1.01,1.97
-0.90,1.70
-0.43,1.40
-0.31,0.69
0.54,1.40
0.54,1.40
0.54,0.65
0.54,1.41
-0.43,-0.68
-1.48,-0.52
0.54,1.41
-0.43,1.40
-0.31,0.69
0.53,1.40
-0.43,1.40
-0.31,0.69
0.54,1.40
-1.13,1.40
-1.48,-0.51
0.54,1.40
0.54,1.40
-0.32,-0.51
0.54,1.40
-0.43,1.40
-0.31,0.69
0.54,1.40
2.29,9.99
2.25,3.56
2.27,3.64
2.24,3.67
2.37,3.63
2.27,3.59
2.32,3.58
2.32,16.43
8.91,3.63
2.30,3.62
0.95,2.01
0.95,2.01
