dE_H (eV),dE_OOH (eV)
0.57,2.18
1.40,5.71
-1.48,5.25
0.57,5.01
-0.41,1.68
-0.68,1.22
1.02,5.39
1.51,5.41
0.66,5.14
1.02,5.52
1.38,5.05
1.51,2.23
0.66,5.15
1.38,5.40
0.98,5.42
0.40,5.09
0.62,5.10
1.19,5.51
1.01,2.46
-0.90,2.46
-0.43,4.90
-0.31,4.10
0.54,4.89
0.54,5.41
0.54,4.97
0.54,5.32
-0.43,3.93
-1.48,2.90
0.54,4.92
-0.43,5.49
-0.31,2.93
0.53,5.12
-0.43,5.41
-0.31,2.87
0.54,4.89
-1.13,4.91
-1.48,2.88
0.54,4.90
0.54,4.90
-0.32,4.12
0.54,4.92
-0.43,4.90
-0.31,4.09
0.54,5.30
2.29,9.04
2.25,8.02
2.27,7.66
2.24,7.62
2.37,7.58
2.27,9.43
2.32,12.14
2.32,8.39
8.91,7.85
2.30,7.65
0.95,5.38
0.95,5.45
