dE_OOH (eV),dE_OOH (eV)
"0,94",
"-0,21",
"-0,65",
"-1,56",
"-0,75",
"0,92",
"-0,64",
"-0,76",
"-1,37",
"-1,43","2,18"
"-0,28","5,71"
"-1,44","5,25"
"-0,73","5,01"
"-3,39","1,68"
"-2,07","1,22"
"-0,79","5,39"
"-1,08","5,41"
"-0,31","5,14"
"-0,57","5,52"
"-0,41","5,05"
"-1,16","2,23"
"-0,51","5,15"
"-0,61","5,40"
"-1,90","5,42"
"-0,15","5,09"
"-0,42","5,10"
"0,91","5,51"
"-0,62","2,46"
"-0,22","2,46"
"-3,37","4,90"
"-3,62","4,10"
"-3,18","4,89"
"-3,35","5,41"
"-1,42","4,97"
"-3,24","5,32"
"-3,10","3,93"
"-2,58","2,90"
"-3,22","4,92"
"-3,34","5,49"
"-3,68","2,93"
"-3,49","5,12"
"-2,70","5,41"
"-2,56","2,87"
"-2,84","4,89"
"-3,37","4,91"
"-3,06","2,88"
"-4,41","4,90"
"-3,35","4,90"
"-3,68","4,12"
"-0,44","4,92"
"-1,44","4,90"
"-3,60","4,09"
"-0,46","5,30"
"2,70","9,04"
"-1,53","8,02"
"0,15","7,66"
"-0,89","7,62"
"-0,15","7,58"
"0,00","9,43"
"-0,37","12,14"
"-0,24","8,39"
"-0,07","7,85"
"-0,08","7,65"
"-4,40","5,38"
"-0,75","5,45"
"-1,34",
"-0,60",
"-1,30",
"-0,90",
"-0,94",
"-1,33",
"-3,14",
"-2,41",
"1,50",
