dE_O (eV),dE_O (eV)
"-1,35","1,80"
"-1,30","1,80"
"-0,43","2,83"
"-0,97","2,70"
"-1,29","1,80"
"-0,52","2,86"
"-0,92","2,43"
"-1,01","2,88"
"-1,46","2,30"
"-1,30","2,70"
"-0,83","2,30"
"-2,72","2,28"
"-1,33","2,82"
"-0,86","2,28"
"-2,63","2,28"
"-0,61","2,28"
"-2,80","2,29"
"-2,73","0,33"
"-0,89","1,94"
"-0,83","2,29"
"-1,26","2,28"
"-0,90","2,82"
"-3,46","2,29"
"-3,03","1,23"
"-1,85","2,83"
"-0,83","2,29"
"-1,81","-0,65"
"-0,56","1,95"
"-0,76","2,29"
"-0,43","2,29"
"-1,45","1,95"
"-0,77","2,29"
"-1,32","2,29"
"-1,44","2,82"
"-1,68","2,29"
"0,67","9,58"
"-0,79","5,61"
"-0,81","5,67"
"1,00","8,03"
"1,05","8,02"
"-0,45","5,63"
"0,78","5,57"
"0,77","5,54"
"1,00","101,40"
"0,97","5,65"
"-0,92","0,81"
"0,78","2,71"
