dE_O (eV),dE_OH (eV)
2.30,1.70
2.30,2.43
2.30,1.67
2.29,1.45
-3.07,-1.66
-6.13,0.37
1.80,1.96
2.83,2.79
2.70,1.77
1.80,2.11
1.80,1.96
2.83,2.79
2.70,1.77
1.80,1.96
2.86,2.09
2.43,1.53
2.88,1.63
2.30,1.72
2.70,1.97
2.30,1.70
2.28,1.40
2.82,0.69
2.28,1.40
2.28,1.40
2.28,0.65
2.29,1.41
0.33,-0.68
1.94,-0.52
2.29,1.41
2.28,1.40
2.82,0.69
2.29,1.40
1.23,1.40
2.83,0.69
2.29,1.40
-0.65,1.40
1.95,-0.51
2.29,1.40
2.29,1.40
1.95,-0.51
2.29,1.40
2.29,1.40
2.82,0.69
2.29,1.40
9.58,9.99
5.61,3.56
5.67,3.64
8.03,3.67
8.02,3.63
5.63,3.59
5.57,3.58
5.54,16.43
101.40,3.63
5.65,3.62
0.81,2.01
2.71,2.01
