dE_O (eV),dE_OOH (eV)
2.30,2.18
2.30,5.71
2.30,5.25
2.29,5.01
-3.07,1.68
-6.13,1.22
1.80,5.39
2.83,5.41
2.70,5.14
1.80,5.52
1.80,5.05
2.83,2.23
2.70,5.15
1.80,5.40
2.86,5.42
2.43,5.09
2.88,5.10
2.30,5.51
2.70,2.46
2.30,2.46
2.28,4.90
2.82,4.10
2.28,4.89
2.28,5.41
2.28,4.97
2.29,5.32
0.33,3.93
1.94,2.90
2.29,4.92
2.28,5.49
2.82,2.93
2.29,5.12
1.23,5.41
2.83,2.87
2.29,4.89
-0.65,4.91
1.95,2.88
2.29,4.90
2.29,4.90
1.95,4.12
2.29,4.92
2.29,4.90
2.82,4.09
2.29,5.30
9.58,9.04
5.61,8.02
5.67,7.66
8.03,7.62
8.02,7.58
5.63,9.43
5.57,12.14
5.54,8.39
101.40,7.85
5.65,7.65
0.81,5.38
2.71,5.45
