Sructure_ID,Site_ID,dE_H (eV),dE_O (eV),dE_OH (eV),dE_OOH (eV)
0.307-45,1,,,,
0.307-45,2,,,,
0.307-45,3,,,,
0.307-45,4,,,,
0.307-45,5,,,,
0.431-44,1,,,,
0.431-44,2,,,,
0.431-44,3,,,,
0.431-44,4,,,,
0.477-43,1,0.57,2.30,1.70,2.18
0.477-43,2,1.40,2.30,2.43,5.71
0.477-43,3,-1.48,2.30,1.67,5.25
0.477-43,4,0.57,2.29,1.45,5.01
0.524-34,1,-0.41,-3.07,-1.66,1.68
0.524-34,2,-0.68,-6.13,0.37,1.22
0.559-19,1,1.02,1.80,1.96,5.39
0.559-19,2,1.51,2.83,2.79,5.41
0.559-19,3,0.66,2.70,1.77,5.14
0.559-19,4,1.02,1.80,2.11,5.52
0.559-19,5,1.38,1.80,1.96,5.05
0.559-19,6,1.51,2.83,2.79,2.23
0.559-19,7,0.66,2.70,1.77,5.15
0.559-19,8,1.38,1.80,1.96,5.40
0.604-50,1,0.98,2.86,2.09,5.42
0.604-50,2,0.40,2.43,1.53,5.09
0.604-50,3,0.62,2.88,1.63,5.10
0.728-42,1,1.19,2.30,1.72,5.51
0.728-42,2,1.01,2.70,1.97,2.46
0.728-42,3,-0.90,2.30,1.70,2.46
0.766-41,1,-0.43,2.28,1.40,4.90
0.766-41,2,-0.31,2.82,0.69,4.10
0.766-41,3,0.54,2.28,1.40,4.89
0.766-41,4,0.54,2.28,1.40,5.41
0.766-41,5,0.54,2.28,0.65,4.97
0.766-41,6,0.54,2.29,1.41,5.32
0.766-41,7,-0.43,0.33,-0.68,3.93
0.766-41,8,-1.48,1.94,-0.52,2.90
0.766-41,9,0.54,2.29,1.41,4.92
0.766-41,10,-0.43,2.28,1.40,5.49
0.766-41,11,-0.31,2.82,0.69,2.93
0.766-41,12,0.53,2.29,1.40,5.12
0.766-41,13,-0.43,1.23,1.40,5.41
0.766-41,14,-0.31,2.83,0.69,2.87
0.766-41,15,0.54,2.29,1.40,4.89
0.766-41,16,-1.13,-0.65,1.40,4.91
0.766-41,17,-1.48,1.95,-0.51,2.88
0.766-41,18,0.54,2.29,1.40,4.90
0.766-41,19,0.54,2.29,1.40,4.90
0.766-41,20,-0.32,1.95,-0.51,4.12
0.766-41,21,0.54,2.29,1.40,4.92
0.766-41,22,-0.43,2.29,1.40,4.90
0.766-41,23,-0.31,2.82,0.69,4.09
0.766-41,24,0.54,2.29,1.40,5.30
0.797-320,1,2.29,9.58,9.99,9.04
0.797-320,2,2.25,5.61,3.56,8.02
0.797-320,3,2.27,5.67,3.64,7.66
0.797-320,4,2.24,8.03,3.67,7.62
0.797-320,5,2.37,8.02,3.63,7.58
0.797-320,6,2.27,5.63,3.59,9.43
0.797-320,7,2.32,5.57,3.58,12.14
0.797-320,8,2.32,5.54,16.43,8.39
0.797-320,9,8.91,101.40,3.63,7.85
0.797-320,10,2.30,5.65,3.62,7.65
0.900-3,1,0.95,0.81,2.01,5.38
0.900-3,2,0.95,2.71,2.01,5.45
0.960-258,1,,,,
0.960-258,2,,,,
0.960-258,3,,,,
0.960-258,4,,,,
0.960-258,5,,,,
0.960-258,6,,,,
0.971-168,1,,,,
0.971-168,2,,,,
0.971-168,3,,,,
