Estrutura,Espécie,Sítio,Energia (eV)
0.307-45,H,H_1,-1116.147496
0.307-45,H,H_2,-1113.201034
0.307-45,H,H_3,-1115.091247
0.307-45,H,H_4,-1116.290750
0.307-45,H,H_5,-1116.303029
0.307-45,OH,OH_1,-1119.260449
0.307-45,OH,OH_2,-1119.298800
0.307-45,OH,OH_3,-1119.460422
0.307-45,OH,OH_4,-1119.472675
0.307-45,OH,OH_5,-1119.297429
0.307-45,OOH,OOH_1,-1121.499279
0.307-45,OOH,OOH_2,-1120.493792
0.307-45,OOH,OOH_3,-1120.818474
0.307-45,OOH,OOH_4,-1121.928673
0.307-45,OOH,OOH_5,-1121.903439
0.307-45,O,O_1,-1116.863990
0.307-45,O,O_2,-1116.875200
0.307-45,O,O_3,-1117.019427
0.307-45,O,O_4,-1116.748233
0.307-45,O,O_5,-1116.541358
0.431-44,H,H_1,-991.192550
0.431-44,H,H_2,-993.316963
0.431-44,H,H_3,-992.465075
0.431-44,H,H_4,-993.921199
0.431-44,OH,OH_1,-996.965196
0.431-44,OH,OH_2,-996.779344
0.431-44,OH,OH_3,-997.031149
0.431-44,OH,OH_4,-997.090396
0.431-44,OOH,OOH_1,-1002.250038
0.431-44,OOH,OOH_2,-998.795884
0.431-44,OOH,OOH_3,-998.309606
0.431-44,OOH,OOH_4,-999.995470
0.431-44,O,O_1,-994.629347
0.431-44,O,O_2,-993.821892
0.431-44,O,O_3,-994.962326
0.431-44,O,O_4,-994.816032
0.477-43,H,H_1,-743.128909
0.477-43,H,H_2,-743.656887
0.477-43,H,H_3,-747.401816
0.477-43,H,H_4,-747.347975
0.477-43,OH,OH_1,-751.188704
0.477-43,OH,OH_2,-750.790103
0.477-43,OH,OH_3,-751.299611
0.477-43,OH,OH_4,-751.281268
0.477-43,OOH,OOH_1,-753.396033
0.477-43,OOH,OOH_2,-752.062667
0.477-43,OOH,OOH_3,-752.816456
0.477-43,OOH,OOH_4,-753.003595
0.477-43,O,O_1,-748.863976
0.477-43,O,O_2,-748.686873
0.477-43,O,O_3,-748.512413
0.477-43,O,O_4,-748.295959
0.524-34,H,H_1,-480.214352
0.524-34,H,H_2,-482.112226
0.524-34,OH,OH_1,-482.437911
0.524-34,OH,OH_2,-482.861642
0.524-34,OOH,OOH_1,-487.240011
0.524-34,OOH,OOH_2,-480.667078
0.524-34,O,O_1,-493.819989
0.524-34,O,O_2,-480.256715
0.559-19,H,H_1,-252.660802
0.559-19,H,H_2,-255.041212
0.559-19,H,H_3,-254.702385
0.559-19,H,H_4,-254.771052
0.559-19,H,H_5,-254.815479
0.559-19,H,H_6,-254.978714
0.559-19,H,H_7,-255.058456
0.559-19,H,H_8,-255.027857
0.559-19,OH,OH_1,-258.693521
0.559-19,OH,OH_2,-258.661068
0.559-19,OH,OH_3,-258.661657
0.559-19,OH,OH_4,-258.963218
0.559-19,OH,OH_5,-258.694136
0.559-19,OH,OH_6,-258.651049
0.559-19,OH,OH_7,-258.648992
0.559-19,OH,OH_8,-258.696560
0.559-19,OOH,OOH_1,-260.895560
0.559-19,OOH,OOH_2,-261.757868
0.559-19,OOH,OOH_3,-260.714768
0.559-19,OOH,OOH_4,-260.880869
0.559-19,OOH,OOH_5,-259.826911
0.559-19,OOH,OOH_6,-261.031167
0.559-19,OOH,OOH_7,-260.772983
0.559-19,OOH,OOH_8,-260.949446
0.559-19,O,O_1,-256.248286
0.559-19,O,O_2,-254.053414
0.559-19,O,O_3,-255.933476
0.559-19,O,O_4,-256.046846
0.559-19,O,O_5,-256.260374
0.559-19,O,O_6,-254.064203
0.559-19,O,O_7,-255.922810
0.559-19,O,O_8,-256.262412
0.604-50,H,H_1,-579.470596
0.604-50,H,H_2,-579.956657
0.604-50,H,H_3,-579.632001
0.604-50,OH,OH_1,-583.303341
0.604-50,OH,OH_2,-584.498133
0.604-50,OH,OH_3,-584.704933
0.604-50,OOH,OOH_1,-588.540301
0.604-50,OOH,OOH_2,-585.647256
0.604-50,OOH,OOH_3,-585.412712
0.604-50,O,O_1,-579.501784
0.604-50,O,O_2,-581.112491
0.604-50,O,O_3,-580.683444
0.728-42,H,H_1,-622.486027
0.728-42,H,H_2,-624.571101
0.728-42,H,H_3,-624.455017
0.728-42,OH,OH_1,-628.170557
0.728-42,OH,OH_2,-628.737073
0.728-42,OH,OH_3,-627.339861
0.728-42,OOH,OOH_1,-628.328731
0.728-42,OOH,OOH_2,-630.227345
0.728-42,OOH,OOH_3,-629.363184
0.728-42,O,O_1,-624.948298
0.728-42,O,O_2,-625.184511
0.728-42,O,O_3,-624.427910
0.766-41,H,H_1,-378.624639
0.766-41,H,H_2,-379.944081
0.766-41,H,H_3,-379.680841
0.766-41,H,H_4,-380.650475
0.766-41,H,H_5,-379.795439
0.766-41,H,H_6,-376.541831
0.766-41,H,H_7,-378.656703
0.766-41,H,H_8,-380.028588
0.766-41,H,H_9,-379.926767
0.766-41,H,H_10,-378.552538
0.766-41,H,H_11,-379.895932
0.766-41,H,H_12,-380.096246
0.766-41,H,H_13,-380.693854
0.766-41,H,H_14,-380.016511
0.766-41,H,H_15,-379.634023
0.766-41,H,H_16,-379.941824
0.766-41,H,H_17,-379.999820
0.766-41,H,H_18,-379.795152
0.766-41,H,H_19,-378.671207
0.766-41,H,H_20,-379.918837
0.766-41,H,H_21,-379.909955
0.766-41,H,H_22,-378.577040
0.766-41,H,H_23,-379.878619
0.766-41,H,H_24,-380.081525
0.766-41,OH,OH_1,-383.224491
0.766-41,OH,OH_2,-383.463976
0.766-41,OH,OH_3,-383.504803
0.766-41,OH,OH_4,-383.281685
0.766-41,OH,OH_5,-383.413965
0.766-41,OH,OH_6,-381.018296
0.766-41,OH,OH_7,-383.500295
0.766-41,OH,OH_8,-384.864494
0.766-41,OH,OH_9,-383.396932
0.766-41,OH,OH_10,-383.402990
0.766-41,OH,OH_11,-383.572104
0.766-41,OH,OH_12,-383.496819
0.766-41,OH,OH_13,-383.264526
0.766-41,OH,OH_14,-383.527900
0.766-41,OH,OH_15,-383.489710
0.766-41,OH,OH_16,-383.173823
0.766-41,OH,OH_17,-384.612622
0.766-41,OH,OH_18,-383.646391
0.766-41,OH,OH_19,-383.561763
0.766-41,OH,OH_20,-384.728573
0.766-41,OH,OH_21,-383.356311
0.766-41,OH,OH_22,-383.537044
0.766-41,OH,OH_23,-383.541514
0.766-41,OH,OH_24,-383.479901
0.766-41,OOH,OOH_1,-388.421334
0.766-41,OOH,OOH_2,-385.784820
0.766-41,OOH,OOH_3,-385.578876
0.766-41,OOH,OOH_4,-384.645780
0.766-41,OOH,OOH_5,-385.654397
0.766-41,OOH,OOH_6,-385.430640
0.766-41,OOH,OOH_7,-388.723818
0.766-41,OOH,OOH_8,-385.613087
0.766-41,OOH,OOH_9,-385.589437
0.766-41,OOH,OOH_10,-384.337359
0.766-41,OOH,OOH_11,-385.634212
0.766-41,OOH,OOH_12,-385.742100
0.766-41,OOH,OOH_13,-386.522297
0.766-41,OOH,OOH_14,-385.685222
0.766-41,OOH,OOH_15,-385.581595
0.766-41,OOH,OOH_16,-388.802693
0.766-41,OOH,OOH_17,-385.771123
0.766-41,OOH,OOH_18,-386.609514
0.766-41,OOH,OOH_19,-384.499499
0.766-41,OOH,OOH_20,-385.625018
0.766-41,OOH,OOH_21,-385.533183
0.766-41,OOH,OOH_22,-384.241097
0.766-41,OOH,OOH_23,-385.826556
0.766-41,OOH,OOH_24,-385.792266
0.766-41,O,O_1,-379.571779
0.766-41,O,O_2,-380.380401
0.766-41,O,O_3,-380.442965
0.766-41,O,O_4,-379.561974
0.766-41,O,O_5,-380.182197
0.766-41,O,O_6,-380.671943
0.766-41,O,O_7,-380.115013
0.766-41,O,O_8,-380.827508
0.766-41,O,O_9,-380.597239
0.766-41,O,O_10,-380.071116
0.766-41,O,O_11,-380.834530
0.766-41,O,O_12,-380.556706
0.766-41,O,O_13,-379.432066
0.766-41,O,O_14,-380.399093
0.766-41,O,O_15,-380.431919
0.766-41,O,O_16,-379.539953
0.766-41,O,O_17,-380.170350
0.766-41,O,O_18,-380.634587
0.766-41,O,O_19,-379.956259
0.766-41,O,O_20,-380.691588
0.766-41,O,O_21,-381.139029
0.766-41,O,O_22,-380.090996
0.766-41,O,O_23,-381.335527
0.766-41,O,O_24,-380.612908
0.797-320,H,H_1,-484.156818
0.797-320,H,H_2,-484.192576
0.797-320,H,H_3,-482.848185
0.797-320,H,H_4,-480.860852
0.797-320,H,H_5,-482.829774
0.797-320,H,H_6,-482.620469
0.797-320,H,H_7,-482.907106
0.797-320,H,H_8,-483.420321
0.797-320,H,H_9,-480.025321
0.797-320,H,H_10,-482.963022
0.797-320,OH,OH_1,-487.259457
0.797-320,OH,OH_2,-486.736598
0.797-320,OH,OH_3,-486.714386
0.797-320,OH,OH_4,-487.480000
0.797-320,OH,OH_5,-487.336459
0.797-320,OH,OH_6,-486.796846
0.797-320,OH,OH_7,-486.698750
0.797-320,OH,OH_8,-487.430183
0.797-320,OH,OH_9,-486.746586
0.797-320,OH,OH_10,-486.688721
0.797-320,OOH,OOH_1,-489.765204
0.797-320,OOH,OOH_2,-490.313482
0.797-320,OOH,OOH_3,-488.092633
0.797-320,OOH,OOH_4,-489.195594
0.797-320,OOH,OOH_5,-488.997069
0.797-320,OOH,OOH_6,-488.503841
0.797-320,OOH,OOH_7,-488.595215
0.797-320,OOH,OOH_8,-489.285141
0.797-320,OOH,OOH_9,-489.097289
0.797-320,OOH,OOH_10,-487.614178
0.797-320,O,O_1,-470.975404
0.797-320,O,O_2,-483.630133
0.797-320,O,O_3,-483.449202
0.797-320,O,O_4,-482.257426
0.797-320,O,O_5,-481.397195
0.797-320,O,O_6,-482.666498
0.797-320,O,O_7,-481.570214
0.797-320,O,O_8,-480.990586
0.797-320,O,O_9,-480.795264
0.797-320,O,O_10,-481.329304
0.900-3,H,H_1,-312.831113
0.900-3,H,H_2,-314.539591
0.900-3,OH,OH_1,-318.234353
0.900-3,OH,OH_2,-319.402621
0.900-3,OOH,OOH_1,-319.012518
0.900-3,OOH,OOH_2,-320.564456
0.900-3,O,O_1,-314.890959
0.900-3,O,O_2,-314.019627
0.960-258,H,H_1,-1684.216015
0.960-258,H,H_2,-1683.660527
0.960-258,H,H_3,-1684.329950
0.960-258,H,H_4,-1683.845108
0.960-258,H,H_5,-1683.607254
0.960-258,H,H_6,-1684.335106
0.960-258,OH,OH_1,-1687.683166
0.960-258,OH,OH_2,-1685.114822
0.960-258,OH,OH_3,-1686.759087
0.960-258,OH,OH_4,-1687.665398
0.960-258,OH,OH_5,-1687.647033
0.960-258,OH,OH_6,-1687.623311
0.960-258,OOH,OOH_1,-1689.164190
0.960-258,OOH,OOH_2,-1689.647526
