Estrutura;Espécie;Sítio;Energia (eV)
0.307-45;H;H_1;-1139.156681
0.307-45;H;H_2;-1139.009625
0.307-45;H;H_3;-1140.953943
0.307-45;H;H_4;-1141.684222
0.307-45;H;H_5;-1141.027394
0.307-45;OH;OH_1;-1144.766032
0.307-45;OH;OH_2;-1142.142002
0.307-45;OH;OH_3;-1142.347156
0.307-45;OH;OH_4;-1143.261255
0.307-45;OH;OH_5;-1142.534109
0.307-45;OOH;OOH_1;-1144.640986
0.307-45;OOH;OOH_2;-1145.795728
0.307-45;OOH;OOH_3;-1146.237265
0.307-45;OOH;OOH_4;-1147.140204
0.307-45;OOH;OOH_5;-1146.332763
0.307-45;O;O_1;-1143.186847
0.307-45;O;O_2;-1142.704022
0.307-45;O;O_3;-1142.887862
0.307-45;O;O_4;-1142.848724
0.307-45;O;O_5;-1142.629457
0.431-44;H;H_1;-1013.754561
0.431-44;H;H_2;-1015.269444
0.431-44;H;H_3;-1015.183407
0.431-44;H;H_4;-1015.992852
0.431-44;OH;OH_1;-1019.189721
0.431-44;OH;OH_2;-1016.817291
0.431-44;OH;OH_3;-1016.939604
0.431-44;OH;OH_4;-1017.422316
0.431-44;OOH;OOH_1;-1019.061375
0.431-44;OOH;OOH_2;-1020.628785
0.431-44;OOH;OOH_3;-1020.746417
0.431-44;OOH;OOH_4;-1021.357871
0.431-44;O;O_1;-1016.314637
0.431-44;O;O_2;-1017.227059
0.431-44;O;O_3;-1017.327718
0.431-44;O;O_4;-1017.250474
0.477-43;H;H_1;-760.333817
0.477-43;H;H_2;-759.332746
0.477-43;H;H_3;-762.738229
0.477-43;H;H_4;-762.114340
0.477-43;OH;OH_1;-764.317460
0.477-43;OH;OH_2;-763.174337
0.477-43;OH;OH_3;-764.267655
0.477-43;OH;OH_4;-763.637195
0.477-43;OOH;OOH_1;-768.201657
0.477-43;OOH;OOH_2;-767.051563
0.477-43;OOH;OOH_3;-768.210751
0.477-43;OOH;OOH_4;-767.500406
0.477-43;O;O_1;-764.934039
0.477-43;O;O_2;-763.824256
0.477-43;O;O_3;-764.313782
0.477-43;O;O_4;-763.786685
0.524-34;H;H_1;-495.057772
0.524-34;H;H_2;-495.443348
0.524-34;OH;OH_1;-493.205736
0.524-34;OH;OH_2;-497.090562
0.524-34;OOH;OOH_1;-499.716438
0.524-34;OOH;OOH_2;-498.394253
0.524-34;O;O_1;-494.754138
0.524-34;O;O_2;-496.850020
0.559-19;H;H_1;-256.395334
0.559-19;H;H_2;-258.668413
0.559-19;H;H_3;-258.041965
0.559-19;H;H_4;-258.406865
0.559-19;H;H_5;-257.735630
0.559-19;H;H_6;-258.597669
0.559-19;H;H_7;-258.064041
0.559-19;H;H_8;-258.426874
